name,code,Schedule Type,Instruction Method,Credit,Course Description,Section Details,Registration Restrictions,Section Attributes,Schedule and Location,Instructors,Course Quality,Instructor Quality,Work Required,Difficulty,Also_offered_as,Mutually_exclusive,Prerequisites,numeric_credit
Introduction to Land Use Planning,CPLN 5300,Lecture,In Class,1,"Exploration of the methods and tools for managing land use and shaping the built environment. Presents how to create a successful Comprehensive Plan, Zoning Ordinance, Subdivision Regulations, Capital Improvements Progam, and design guidelines. Also, presents functional area, regional, and state-level plans.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
MES Resource Management Elective (BMEM)",TR 10:15am-11:44am (8/27 to 12/9),Thomas Daniels,,,,,,,,[1.0]
Introduction to Property Development,CPLN 5400,Lecture,In Class,1,"This course is designed to acquaint students with the fundamental skills and techniques of real estate property development. It is designed as a first course for anyone interested in how to be a developer, and as a foundation for further courses in urban development and real estate.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,DSGN Design Masters CPLN Elective (FMCP),TR 10:15am-11:44am (8/27 to 12/9),Vincent Reina,,,,,,,,[1.0]
Introduction to Transportation Planning,CPLN 5500,Lecture,In Class,1,"This course provides an overview and introduction to urban transportation planning and policy. Although the focus is on US transportation, the course also puts an emphasis on transportation issues in the fast-growing cities of the developing world. The course is organized around: (1) histories and theories of transportation and travel behavior; (2) transportation policy and project evaluation; (3) transportation demand modeling; and (4) multimodal transportation planning and policy. Particular attention is given to interactions between transportation and land use systems.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
MES Envi Resilience and Adaptation Elective (BMER)
MES Resource Management Elective (BMEM)",TR 10:15am-11:44am (8/27 to 12/9),Erick Guerra,,,,,,,,[1.0]
Topics in International Development: Financing Climate Resilient City Infrastructure,CPLN 5770,Seminar,In Class,1,"Course examines current trends and topics pertaining to international development. See MCP website for current offerings: Graduate City and Regional Planning, Weitzman School (upenn.edu)","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.** With the world’s population exploding – 2050 will see the addition of some 2 billion inhabitants, primarily in cities in low and middle income countries – decision-makers are pressed to meet basic infrastructural needs (transportation, water and sanitation, public space, electricity, social service facilities and others) while responding to climate change crisis.. No global estimate of urban infrastructure needs exists. However, the G-20’s infrastructure hub illustrates the gaps by country and region. For example, it predicts that by 2040 Brazil needs to invest $1.2 trillion; India, $526 billion; and Nigeria, $221 billion. This course will review the history, theory, current practice, innovative approaches, and suggested regulatory and governance reforms in subnational infrastructure finance, focusing on Global South. High level practitioners from around the world will provide real time experience and expertise in class sessions. Research projects include selected assignments related to the work of the SDSN Global Commission on Urban SDG Finance (co-chaired by Paris Mayor Anne Hidalgo, Rio Mayor Eduardo Paes, and economist Jeffrey Sachs (for which Penn IUR is the secretariat).",Enrollment limited to students in a Master of City Planning degree.,DSGN Design Masters CPLN Elective (FMCP),W 1:45pm-4:44pm (8/27 to 12/9),"Eugenie Birch
Mauricio Rodas",,,,,,,,[1.0]
Introduction to Smart Cities,CPLN 5910,Lecture,In Class,1,"This course reviews the infrastructure, databases, deployment, and development of emerging digital technologies in cities. We review existing initiatives, discuss challenges and opportunities, and critically evaluate what technology has and has not been able to offer cities. We contrast utopian visions of technology with the possible buggy and brittle realities. Finally, we ask: what makes a city smart?","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,DSGN Design Masters CPLN Elective (FMCP),TR 10:15am-11:44am (8/27 to 12/9),Allison Lassiter,,,,,,,,[1.0]
Public Policy Analytics,CPLN 5920,Varies by section,In Class,Varies by section,"This course teaches advanced spatial analysis and an introduction to data science/machine learning in the urban planning and public policy realm. The class focuses on real-world spatial analysis applications and, in combination with introductory machine learning, provides students a modern framework for efficiently allocate limited resources across space. Unlike its private sector counterpart, data science in the public or non-profit sector isn't strictly about optimization - it requires understanding of public goods, governance, and issues of equity. We explore use cases in transportation, housing, public health, land use, criminal justice, and other domains. We will learn novel approaches for understanding and avoiding risks of ""algorithmic bias"" against communities/people of color as well as communities of different income levels. The format of the class includes weekly lectures/in-class demos and labs. There are seven required assignments, including two projects. Prerequisites include either CPLN503, the summer GIS course or prior experience with GIS in a formal setting. The class is conducted entirely in R. Having experience in R and the ‘tidyverse’ is helpful but not strictly required.",Varies by section,Varies by section,CRIM MS Criminology Elective (HPCR),Varies by section,Varies by section,,,,,MUSA 5080,,,
Techniques of Urban Economic Development,CPLN 6200,Lecture,In Class,1,"This course is an introduction to the theory and practice of economic development planning. We will explore theories of economic growth and development as well as explore pressing questions regarding income and wealth inequality and labor markets. Economic development practice in the US is the result of decades of work from local and state governments and hybrid entities (community development institutions, hospitals, redevelopment authorities, commerce departments) attempting to make their respective places more “sticky” with respect to economic activity. While economic development may seem secondary, or worse, actively harmful in addressing some of the many pressing problems facing planners today, this course is designed to highlight why economic development remains central to questions about how regions can and should grow. The economic organization of our regions is a central actor in debates concerning global warming, displacement through gentrification or decline and social inequality.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
MES Urban Environment Elective (BMEU)",TR 1:45pm-3:14pm (8/27 to 12/9),Jamaal Green,2.9,3.1,2.0,2.3,,,,[1.0]
Social Impact in Practice,CPLN 6270,Seminar,In Class,1,"The course will be an opportunity for students across Weitzman (and other schools) to meaningfully engage with community partners and practitioners working in Philadelphia and the surrounding region, and to grapple with the complex issues necessary for understanding community perspective, thereby influencing the approach when planning and designing as professionals. The course intends to reverse common perceptions and practices of community engagement (""beyond the theater of engagement"") and discuss how to productively and sensitively work with communities of all types, on projects of all scales, to work towards common goals and high aspirations. The organization of the course will be a combination of readings and discussions, guest lecturers, and tours in the immediate community. The primary assignments will be reflection pieces, case studies, a collaborative group project, and a implementation project proposal. The group project(s) would partner students with a current, ongoing, or new community project that is funded and actionable. Students will work together, with the partner, and with community members to complete a project (could be built, a printed deliverable, evaluation, or other). The final assignment would ask students to brainstorm and present a potential ""Phase II"" implementation project, thinking through the mechanics of funding partnerships, academic research, etc, that could carry forward the work.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,DSGN Design Masters CPLN Elective (FMCP),W 5:15pm-8:14pm (8/27 to 12/9),"Mike O'Bryan
Maurie Smith",,,,,,,,[1.0]
HCED Topics: Planning Public Schools as Infrastructure,CPLN 6291,Seminar,In Class,1,"Elective classes for the Housing, Community and Economic Development concentration.","This course is an experimental course that blends seminar-style readings and discussions with studio-style community engagement and practical application. Students will work with neighborhood, educational, and political organizations in Philadelphia and the US to facilitate the visioning and documentation for a Peoples Facilities Master Plan for Philadelphia Public Schools. Philadelphia public schools are the most toxic schools in the nation, with over 11 million square feet of asbestos, untold amount of lead in the water feeder pipes, paint, and plaster, mold, and vermin that create nearly $5 billion in deferred maintenance. At the same time, school closures for under-enrollment and utilization plague Black and Brown low-income neighborhoods in the city while gentrifying neighborhoods experience overcrowded public school facilities. This course builds on the work of previous courses and research around the need for a peoples-centered facilities planning process that understands how the school facility’s physical and social infrastructure are embedded into the community, and are necessary to understand broader neighborhood and city dynamics. The course takes a critical approach to planning methods and tools, working directly with communities to collect data, run working group meetings, and prepare for the creation of a peoples centered plan to present directly to city and school district leaders. The course accepts students enrolled in all disciplines with a passion for public schools and infrastructure and working with disenfranchised communities. This course works in partnership with a parallel course taught by Dr. Ariel Bierbaum at the University of Maryland, and the newly-established National Center on School Infrastructure at UC Berkeley.",Enrollment limited to students in a Master of City Planning degree.,DSGN Design Masters CPLN Elective (FMCP),W 1:45pm-4:44pm (8/27 to 12/9),Akira Rodriguez,,,,,,,,[1.0]
Climate Change: Plng for Mitigation and Adaptation,CPLN 6340,Lecture,In Class,1,"This course will present the science of climate change, the impacts of climate change, and the opportunities and obstacles for avoiding climate disasters. We will identify and evaluate the application of planning tools and strategies to achieve the mitigation of climate change and adaptations to climate change. Students will understand the causes and effects of climate change and how to implement and evaluate mitigation and adaptation responses through regulations, financial incentives, infrastructure investment, design techniques, and technology. Emphasis is on climate action planning to create resilient communities.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,Not available,TR 1:45pm-3:14pm (8/27 to 12/9),Thomas Daniels,,,,,,,,[1.0]
Water Policy,CPLN 6350,Lecture,In Class,1,"Aging infrastructure, urbanization, climate change, and limited public funds are contributing to urban water management crises in cities around the globe. This course examines the systems and policies that comprise urban water. We begin with the infrastructures that underlie drinking water, wastewater, and stormwater services. Then, we review innovative management technologies and strategies, focusing on case studies of infrastructure shifts in Philadelphia and Melbourne. Finally, we undertake a global investigation of water management challenges and opportunities.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
MES Environmental Policy Elective (BMEP)
MES Urban Environment Elective (BMEU)
MPH Public Health Elective (MMPU)",TR 3:30pm-4:59pm (8/27 to 12/9),Allison Lassiter,,,,,,,,[1.0]
Downtown Development,CPLN 6420,Lecture,In Class,1,"Will downtowns recover? Is the office building obsolete? In the last decades of the 20th century America’s cities rebounded as downtowns diversified land-use, evolving from 9-5 office districts to 24-hour, mixed-use business, hospitality, retail, institutional and residential areas with an increasing number of well-managed parks and plazas. In many cities, downtown housing demand pushed prices beyond the range of many residents. The events of the last three years challenged many core assumptions and assets around which these places were built: public transit and the benefits of density, walkability and face-to-face interaction in the workplace, at conventions, in hotels, restaurants, cafes and public spaces. City Planning 6420 will focus on downtown recovery, reviewing the impact of three inter-related events: (1) the pandemic; (2) the duration of state and local government mandated shut-downs; and (3) civil unrest which led to rethinking and reformulating of public safety strategies in many cities. Responding to the pandemic required unprecedented actions by national governments, expedited production by pharmaceutical companies, well-designed and equitable distribution strategies. However, what happens on sidewalks, in stores and restaurants, in office buildings, universities and local health care institutions, in residential neighborhoods and in parks and public spaces is the result of local action: by government, business and civic groups and transit agencies. Some cities capitalized on this crisis to make needed changes, others are still mired in unresolved local challenges. This course focuses on what can be done at the local level and will use Philadelphia’s Center City as a laboratory for exploring strategies that work.","**CPLN courses are initially limited to MCP students, but those outside the MCP program may request permission to register. Permit requests are reviewed beginning in August and granted based on seat availability.**",Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
MES Urban Environment Elective (BMEU)",F 8:30am-11:29am (8/27 to 12/9),Paul Levy,,,,,,,,[1.0]
Transportation Planning Methods,CPLN 6500,Lecture,In Class,1,"This course introduces students to the development and uses of the 4-step urban transportation model (trip generation-trip distribution-mode choice-traffic assignment) for community and metropolitan mobility planning. Using the VISUM transportation desktop planning package, students will learn how to build and test their own models, apply them to real projects, and critique the results. Prerequisite: CPLN 5050 or other planning statistics course.",Not available,Enrollment limited to students in a Master of City Planning degree.,"DSGN Design Masters CPLN Elective (FMCP)
ESE Information & Decision Systems (EUEI)",W 8:30am-11:29am (8/27 to 12/9),Megan Ryerson,,,,,ESE 5480,,CPLN 5050,[1.0]
Fundamentals of Urban Design,CPLN 6600,Studio,In Class,2,"CPLN6600 is a two-course unit studio. It is intended as the first comprehensive exposure to the principles and processes of urban design for MCP students, and it is a required course for students in Urban Design concentration. This studio uses an incremental approach to explore contemporary practice of urban design. The semester consists of three sections: a site survey, an individual design project, and a group design project. The projects are organized around several themes associated with different scales and different dimensions of urban design: 1) street/block; 2) open space; 3) mobility and walkability; 4) urban form and ecology. This cross-scale method draws on essential theories of urbanism to investigate the interrelation between built environment and community development, and to address the issues of environmental and social sustainability of a postindustrial metropolis.",Not available,"Enrollment is limited to students with a program in Urban Design.
Enrollment limited to students in a Master of City Planning degree.",DSGN Design Masters CPLN Elective (FMCP),TR 1:45pm-4:44pm (8/27 to 12/9),Zhongjie Lin,,,,,LARP 6600,,,[2.0]
Statistical and Data Mining Methods for Urban Data Analysis,CPLN 6710,Lecture,In Class,1,"This hands-on course will cover a wide range of methods frequently used for analyzing urban and spatial data. These methods are drawn from a variety of fields, including traditional statistics, spatial econometrics, and machine learning, and include 1) regression analysis (OLS, ridge/lasso, logistic, multinomial logit); 2) measures of spatial autocorrelation; 3) spatial regression (spatial lag, spatial error, geographically weighted regression); 4) point pattern analysis; 5) an introduction to clustering methods (k-means, hierarchical clustering, DBSCAN); and 6) big data and GIS. Students will learn the assumptions and limitations of each method, and assignments will focus on the implementation, presentation and interpretation of the analyses. Students will use R and GeoDa in this course.",Not available,Enrollment is limited to students with a program in Smart Cities.,"DSGN Design Masters CPLN Elective (FMCP)
Wharton MBA Business Analytics Major Elec (WMBS)",MW 5:15pm-6:44pm (8/27 to 12/9),Eugene Brusilovskiy,,,,,MUSA 5000,CPLN 5050,,[1.0]
Geospatial Data Science in Python,CPLN 6720,Seminar,In Class,1,"This course will provide students with the knowledge and tools to turn data into meaningful insights, with a focus on real-world case studies in the urban planning and public policy realm. Focusing on the latest Python software tools, the course will outline the ""pipeline"" approach to data science. It will teach students the tools to gather, visualize, and analyze datasets, providing the skills to effectively explore large datasets and transform results into understandable and compelling narratives. The course is organized into five main sections: 1. Exploratory Data Science: Students will be introduced to the main tools needed to get started analyzing and visualizing data using Python. 2. Introduction to Geospatial Data Science: Building on the previous set of tools, this module will teach students how to work with geospatial datasets using a range of modern Python toolkits. 3. Data Ingestion & Big Data: Students will learn how to collect new data through web scraping and APIs, as well as how to work effectively with the large datasets often encountered in real-world applications. 4. Geospatial Data Science in the Wild: Armed with the necessary data science tools, students will be introduced to a range of advanced analytic and machine learning techniques using a number of innovative examples from modern researchers. 5. From Exploration to Storytelling: The final module will teach students to present their analysis results using web-based formats to transform their insights into interactive stories.",Not available,Enrollment limited to students in a Master of City Planning degree.,Not available,R 5:15pm-8:14pm (8/27 to 12/9),Not available,2.2,2.8,1.9,2.0,MUSA 5500,,,[1.0]
How to Build a City,CPLN 6820,Lecture,In Class,1,"This course will study how to transform cities at a large, comprehensive scale and provide students with an introduction to the integrated set of tools necessary to “build a city” through the evaluation and design of large-scale urban revitalization efforts. Taught by a practitioner who led the London Olympic Legacy Corporation, was Deputy Mayor for Planning and Economic Development in Philadelphia and was the former planning director for Washington DC, the course will take a “hands-on” approach by combining case studies of major urban initiatives, field trips in Philadelphia to observe first hand how urban revitalization efforts have succeeded and been limited, and workshops where student teams will learn to design their own large-scale “city building” urban revitalization initiative. The goal of the course is for students to understand the forces that affect how cities and neighborhoods grow and change (economic, political, social, governance) and to be introduced to the comprehensive set of skills and perspectives essential to “building a city” such as infrastructure planning and finance; the organization of city planning and regulatory programs; urban and neighborhood governance and participation/ownership models; forms of public/private partnerships and tax incentive policies, among other topics. The course will examine major urban revitalization initiatives in recent 21st century history in North America and Europe to understand their effectiveness, such as: urban renewal; urban empowerment, enterprise and opportunity zones; Hope VI and the redevelopment of public housing; the London 2012 Olympics and mega sports events; urban waterfronts, such as the Anacostia Waterfront Initiative in Washington DC and the Delaware River waterfront in Philadelphia; the Neighborhood Transformation Initiative and recent Soda Tax in Philadelphia; the “smart city” proposed by Google on the Toronto waterfront; the rise of “innovation districts” and current initiatives proposed by President Biden’s Administration, such as the Bi-Partisan Infrastructure Act.",Not available,Enrollment limited to students in a Master of City Planning degree.,Not available,W 1:45pm-4:44pm (8/27 to 12/9),Andrew Altman,,,,,,,,[1.0]
Material Histories and Ethnographic Methods,CPLN 6830,Seminar,In Class,1,"What does it mean for students in the spatial disciplines (outside of anthropology, sociology, and history) to engage human subjects as primary sources of evidence? How can students in design, planning, and preservation both learn from the social sciences and transform classic ethnographic and historical methods to address the unique contexts of buildings, landscapes, and cities? This class focuses on how to conduct built environment research that views human subjects as repositories of knowledge and critical sources of primary evidence. We will explore research on the history of the built environment (dependent on maps, plats, documentation of sites) and human centered research as we design—collectively—best practices and spatially oriented interview and observation techniques. We will address multiple scales (sidewalks, commercial store fronts, post offices, neighborhoods) as we problematize human experience, perception, and knowledge of the built world.",Not available,Enrollment limited to students in a Master of City Planning degree.,Not available,W 1:45pm-4:44pm (8/27 to 12/9),Sarah Lopez,,,,,HSPV 6500,,,[1.0]
Java Script Programming for Planners and Designers,CPLN 6920,Lecture,In Class,1,"Dashboards, story maps, and other interfaces that enable the display, analysis, and generation of geospatial data are often the end product of data analysis processes. In this course we'll focus on the interface and interaction aspects of creating these products. Students will learn to design and build interfaces to help users access the value promised by geospatial data, modeling, and analysis. We will cover the logic and syntax of the JavaScript programming language for use in data and map-oriented web applications. The ""hands-on"" uses of JavaScript in urban planning applications will be emphasized. Students will hone their skills through a series of complete application projects.",Not available,Enrollment in this course is restricted. Request Permission to register.,DSGN Design Masters CPLN Elective (FMCP),W 1:45pm-4:44pm (8/27 to 12/9),Mjumbe Poe,,,,,MUSA 6110,,,[1.0]
Planning Studio,CPLN 7010,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),Scott Page,,,,,,,,[2.0]
Planning Studio,CPLN 7020,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),David Gouverneur,,,,,,,,[2.0]
Planning Studio,CPLN 7030,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),Not available,,,,,,,,[2.0]
Planning Studio,CPLN 7040,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),Not available,,,,,,,,[2.0]
Planning Studio,CPLN 7050,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),Not available,,,,,,,,[2.0]
Planning Studio,CPLN 7060,Studio,In Class,2,Intensive study of a selected planning topic. Teams of students work with clients to develop alternative scenarios and produce plan and implementation strategies. Multiple presentations required.,Not available,Enrollment in this course is restricted. Request Permission to register.,Not available,MF 1:45pm-4:44pm (8/27 to 12/9),Not available,,,,,,,,[2.0]
Doctoral Seminar,CPLN 8000,Seminar,In Class,1,"Open to PhD students, this scholar-oriented seminar explores how academic researchers from different disciplines define researchable questions, craft research designs, and contribute to knowledge through an examination of important and/or recently published books and monographs with an urban focus. Required of all first- and second- year CPLN doctoral students and those doctoral students enrolled in the Urban Studies Graduate Certificate Program, enrollment is limited to 15 students. Other doctoral students may enroll on a space available basis. Course requirements include completion of a major research paper on a topic selected in consultation with the instructor.",Not available,"Enrollment is limited to students with a major in City & Regional Planning.
Enrollment limited to students in a Doctor of Philosophy degree.",Not available,R 1:30pm-3:29pm (8/27 to 12/9),Eugenie Birch,,,,,,,,[1.0]
Criminology,CRIM 1000,Lecture,In Class,1,"This introductory course examines the multi-disciplinary science of law-making, law-breaking, and law-enforcing. It reviews theories and data predicting where, when, by whom and against whom crimes happen. It also addresses the prevention of different offense types by different kinds of offenders against different kinds of people. Police, courts, prisons, and other institutions are critically examined as both preventing and causing crime. This course meets the general distribution requirement.",Not available,Not available,"CRIM Crim Justice Research (ACRC)
College FND Quantitative Data Analysis (AUQD)
PPE Rigorous Reasoning (APPR)
SEAS Social Science (EUSS)",MW 1:45pm-3:14pm (8/27 to 12/9),Maria Cuellar,2.7,2.9,1.8,1.9,SOCI 2920,,,[1.0]
Statistics for the Social Sciences I,CRIM 1200,Lecture,In Class,1,"Statistical techniques and quantitative reasoning are essential tools for properly examing questions in the social sciences. This course introduces students to the concepts of probability, estimation, confidence intervals, and how to use the statistical concepts and methods to answer social science questions. The course will require the use of R, a free, open source statistical analysis program. This course has been approved for the quantitative data analysis requirement (QDA).",Not available,Not available,Not available,TR 12pm-1:29pm (8/27 to 12/9),Thomas Dolgenos,2.7,2.8,1.8,2.0,,,,[1.0]
American Death Penalty in Theory and Practice,CRIM 2010,Lecture,In Class,1,"Over the past forty years, in response to controversy over the American death penalty, the Supreme Court has created a framework of rules designed to make the death penalty conform to current societal standards. In this course, we will identify the critical issues identified by the courts (and the critics) in light of the practical realities of capital litigation, and we will ask whether the efforts to address these issues have been successful. The class will use specific case examples to identify the critical points in a death penalty case- for example, the decision to designate a prosecution as ""capital"", the performance of defense counsel, the penalty decision, and the method of execution. These critical stages will provide a platform for discussing critical issues like the proper limits of discretion; bias; cruelty; and the decision to disqualify certain groups of people from capital punishment (the mentally disabled, minors). Students will be assigned readings from differnt kinds of sources. Cases from the Supreme Court will identify key issues and the efforts to address them under the law. More general death penalty history will provide some context. We will also read pieces by advocates (pro and con). Finally, we will focus on a few specific prosecutions and discuss how abstract theories work in a particular case.",Not available,Not available,"CRIM SocioPolitical (ACRS)
PPE Distributive Justice (APPJ)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
SEAS Social Science (EUSS)
Wharton UG Core Flex GenEd (WUFG)",TR 12pm-1:29pm (8/27 to 12/9),Thomas Dolgenos,3.5,3.7,2.2,2.2,,,,[1.0]
Forensic Analysis,CRIM 2040,Seminar,In Class,1,"This course discusses the need for stronger scientific foundations in the analysis of forensic evidence from a scientific and a policy perspective. Forensic evidence, such as fingerprints, firearms, and hair, has been analyzed for hundreds of years to inform crime investigations and prosecutions. However, recent advances, especially the use of DNA technology, have revealed that a faulty forensic analyses may have contributed to wrongful convictions. These advances have demonstrated the potential danger of information and testimony derived from imperfect analysis, which can result not just in wrongful convictions but also in errors of impunity. In this course, students learn about the history of forensics, as well as about the recent advances that aim to improve current practices. It is an interdisciplinary course, but it focuses mostly on the statistical and scientific aspects of testing in forensics. Students discuss recent solutions that quantify the uncertainty, limitations, and errors associated with human factors, pattern evidence, and digital evidence. No prior statistical or forensic knowledge is expected. The course will be useful for students who wish to become forensic practitioners, law enforcement officers, lawyers, judges, researchers, or simply informed citizens.",Not available,Not available,"CRIM Crim Justice Research (ACRC)
NU Sector ReaSys&Relationship (NURS)
SEAS Social Science (EUSS)
Wharton UG Core Flex GenEd (WUFG)",MW 10:15am-11:44am (8/27 to 12/9),Maria Cuellar,2.9,2.8,1.5,1.4,,,,[1.0]
Crime and Human Development,CRIM 2060,Seminar,In Class,1,"One of the central research problems in criminology is the relationship between human development and the likelihood of committing crime. This course will examine the tools for measuring the onset of crime, its persistence, intermittency, and desistence. These tools include the study of birth cohorts of everyone born in a certain time and place, life course studies of juvenile delinquents and non-delinquents, trajectory analysis of people studied from pre-school through middle age, and interviews with 70 year old former delinquents who reflect on how their life-course affected the crimes they committed. This course will also examine the research findings that have been produced using these tools. Students will be asked to consider what these findings imply for major theories of crime causation as well as policies for crime prevention.",Not available,Not available,"CRIM Bio Psycho Social (ACRB)
SEAS Social Science (EUSS)
Wharton UG Core Flex GenEd (WUFG)",MW 3:30pm-4:59pm (8/27 to 12/9),Not available,2.7,3.0,2.6,2.4,,,,[1.0]
Wrongful Convictions,CRIM 2090,Seminar,In Class,1,"This course explores wrongful convictions from an interdisciplinary perspective. Using research from the disciplines of law, criminology, psychology and sociology, this course explores how legal errors occur and how they might be prevented in the future. Connections to quality control research and practice in other industries will also be examined. No prerequisites are required.",Not available,Not available,"CRIM SocioPolitical (ACRS)
PPE Distributive Justice (APPJ)
SEAS Social Science (EUSS)
WH UG CCP US (WUCU)",T 3:30pm-6:29pm (8/27 to 12/9),Charles Loeffler,3.2,3.3,2.7,2.1,,,,[1.0]
Research Seminar in Experiments in Crime and Justice,CRIM 4000,Seminar,In Class,1,"This seminar focuses on examining data from experiments in criminology including: randomized controlled trials of criminal justice policies, ""natural"" experiments in crime, and other quasi-experimental studies. A series of experiments conducted by Penn scholars and elsewhere will be examined. This seminar also guides criminology majors in writing a research proposal for their thesis. Students will learn about how to formulate a research question, develop a review of the literature, and how to apply necessary empirical methods. The final paper for this course will be a research proposal that can serve as the basis for the student's senior thesis and to satisfy the senior capstone requirement. Readings will come from the disciplines of criminology, sociology, psychology, economics, and urban planning.",Not available,Not available,"NU Sector Society&Soc Struct (NUSS)
SEAS Social Science (EUSS)
Wharton UG Core Flex GenEd (WUFG)",W 8:30am-11:29am (8/27 to 12/9),Aurelie Ouss,2.8,2.9,3.0,2.7,,,,[1.0]
Criminal Justice Data Analytics,CRIM 4002,Lecture,In Class,1,"This course covers the tools and techniques to acquire, organize, link and visualize complex data in order to answer questions about crime and the criminal justice system. The course is organized around key questions about police shootings, victimization rates, identifying crime hotspots, calculating the cost of crime, and finding out what happens to crime when it rains. On the way to answer these questions, the course will cover topics including data sources, basic programming techniques, SQL, regular expressions, webscraping, and working with geographic data. The course will use R, an open-source, object oriented scripting language with a large set of available add-on packages.",Not available,Enrollment in this course is restricted. Request Permission to register.,"CRIM Crim Justice Research (ACRC)
PPE Choice and Behavior (APPC)
PPE Distributive Justice (APPJ)
PPE Public Policy & Governance (APPU)
SEAS Social Science (EUSS)
Wharton UG Core Flex GenEd (WUFG)",TR 1:45pm-3:14pm (8/27 to 12/9),Greg Ridgeway,2.9,3.3,2.7,2.7,SOCI 4002,CRIM 6002,,[1.0]
Quantitative Methods for Public Policy,CRIM 5350,Varies by section,In Class,Varies by section,"This course provides an introduction to applied statistical techniques in the social sciences and is tailored, in particular, to students pursuing the master of science degree in the Department of Criminology. It is taught as a basic course in statistics and presumes minimal mathematical or statistical background. We’ll begin with a brief introduction to the research process. We’ll then cover the computation, interpretation and understanding of basic descriptive statistics, distributions, hypothesis testing, measures of association and finally regression analysis. Depending on how much time we have, I will cover several more advanced topics in regression analysis at the end of the semester.",Not available,Varies by section,CRIM Crim Justice Research (ACRC),Varies by section,Varies by section,3.5,3.7,2.9,3.2,,,,
Pro-Seminar in Criminology,CRIM 6000,Seminar,In Class,1,"This course provides an overview of the leading criminological theories of crime. The central focus is on the major theories of crime developed over the past century from the disciplines of economics, psychology, and sociology. The course will focus on the application of social science research as a way to evaluate theories of crime. Special attention is devoted to the issues of measurement of crime and what is known from the available empirical data. In addition, the course will focus on how these theoretical perspectives relate to public policy responses to crime.",Not available,Enrollment is limited to Graduate/Research level students.,SEAS Social Science (EUSS),M 8:30am-11:29am (8/27 to 12/9),David Kirk,,,,,,,,[1.0]
